 written on 25Nov2024 at 13:34:33 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    4    5   -0.13097443E-04  0.37839975E-04
    5    5   -0.15142917E-02 -0.85161618E-03
    6    5    0.26335983E-03 -0.43986156E-03
    1    6   -0.35163622E-04  0.65017144E-04
    2    6   -0.42249859E-03 -0.40542948E-03
    3    6    0.13411235E-01 -0.35268439E-02
    4    6    0.34093963E-05 -0.39390399E-04
    5    6   -0.55964859E-03 -0.42667924E-03
    6    6   -0.20849051E-02  0.18416318E-02

   -3   -6    0
    1    1   -0.10460377E-01  0.91265342E-04
    2    1    0.33176354E-04  0.78385212E-04
    3    1    0.53912450E-04 -0.79452889E-04
    4    1    0.38947054E-02 -0.20826354E-02
    5    1   -0.16451546E-04  0.85022711E-04
    6    1    0.85737409E-05 -0.87885848E-04
    1    2    0.16082398E-04  0.66038353E-05
    2    2   -0.11952957E-03 -0.27819506E-03
    3    2   -0.73581918E-02 -0.74785208E-02
    4    2    0.20567746E-04  0.16166216E-05
    5    2    0.20270212E-02  0.15199792E-04
    6    2   -0.18597487E-02  0.31825612E-03
    1    3    0.43116625E-04  0.26552538E-03
    2    3   -0.55265429E-02  0.53481591E-02
    3    3   -0.26399862E-01  0.93391796E-03
    4    3    0.31194364E-04 -0.20840581E-03
    5    3    0.19934094E-01  0.36422916E-02
    6    3    0.77074029E-02 -0.47424509E-02
    1    4    0.11516653E-01 -0.19751634E-02
    2    4   -0.14953869E-04  0.12141871E-04
    3    4   -0.31010571E-03 -0.25042469E-03
    4    4   -0.36412364E-02 -0.91300752E-04
    5    4    0.53593974E-04  0.50437823E-04
    6    4    0.20379471E-04  0.97193519E-05
    1    5   -0.78506765E-04 -0.39431866E-04
    2    5    0.16252844E-02 -0.35530216E-03
    3    5    0.38400365E-01 -0.75591321E-02
    4    5   -0.18998439E-04  0.26516858E-04
    5    5    0.13358531E-03 -0.35807340E-03
    6    5   -0.16808805E-02  0.45687225E-03
    1    6    0.53454266E-06  0.77987968E-04
    2    6   -0.16852009E-02  0.48387582E-04
    3    6    0.13353966E-01  0.75102080E-02
    4    6   -0.33882633E-04  0.44244226E-04
    5    6   -0.16670575E-02 -0.14997359E-03
    6    6    0.17502480E-03 -0.29761409E-03

   -3   -5    0
    1    1   -0.30421584E-02 -0.22963464E-04
    2    1    0.13245298E-04  0.12333219E-03
    3    1   -0.62962195E-04  0.47613640E-03
    4    1    0.34233272E-02  0.18882993E-02
    5    1   -0.40056816E-04  0.16065098E-05
    6    1    0.26349225E-04  0.81186091E-04
    1    2   -0.26610011E-04 -0.34009694E-04
    2    2    0.12314099E-02  0.38783335E-03
    3    2    0.46319631E-01  0.94183713E-03
    4    2    0.16575672E-04  0.28230329E-04
    5    2   -0.57342377E-03  0.15455910E-02
    6    2   -0.92273565E-03  0.39432665E-03
    1    3   -0.26665218E-03  0.44196783E-03
